Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Psychological Sciences and Sociology,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-psychological-sciences-and-sociology/dom/
Bachelor of Psychology,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-psychology/dom/
Bachelor of Social Science majoring in Ageing and Disability,70.0,None,None,On Campus,"Magill, Mount Gambier, Whyalla",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-social-science-ageing-and-disability/dom/
Bachelor of Social Science majoring in Human Services,70.0,None,None,On Campus,"Magill, Mount Gambier, Whyalla",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-social-science-human-services/dom/
Bachelor of Sustainability and Climate Change,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change/dom/
Bachelor of Sustainability and Climate Change majoring in Aboriginal Studies,,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-aboriginal-studies/dom/
Bachelor of Sustainability and Climate Change majoring in Anthropology,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-anthropology/dom/
Bachelor of Sustainability and Climate Change majoring in Environmental Management,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-environmental-management/dom/
Bachelor of Sustainability and Climate Change majoring in Geography,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-geography/dom/
Bachelor of Sustainability and Climate Change majoring in International Development,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-international-development/dom/
Bachelor of Sustainability and Climate Change majoring in International Security,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-international-security/dom/
Bachelor of Sustainability and Climate Change majoring in Politics,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-politics/dom/
Bachelor of Sustainability and Climate Change majoring in Population and Migration Studies,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-population-and-migration-studies/dom/
Bachelor of Sustainability and Climate Change majoring in Sociology,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-sociology/dom/
